round,client_id,num_examples,train_loss,train_score
1.0,2,158.0,1.7460550688490082,0.20886075496673584
1.0,1,144.0,1.741625256008572,0.2013888955116272
1.0,0,149.0,1.7709898252615193,0.19463087618350983
2.0,0,149.0,1.6439435041990855,0.5100671052932739
2.0,1,144.0,1.620530949698554,0.4583333432674408
2.0,2,158.0,1.6099450950381122,0.4303797483444214
3.0,0,149.0,1.4041824396824676,0.5302013158798218
3.0,2,158.0,1.3457583264459538,0.5443037748336792
3.0,1,144.0,1.408896843592326,0.5416666865348816
4.0,2,158.0,1.120676789102675,0.6708860993385315
4.0,1,144.0,1.2117530769772,0.625
4.0,0,149.0,1.123873761036252,0.5570470094680786
5.0,2,158.0,0.9621444208712517,0.5822784900665283
5.0,1,144.0,0.9806466698646545,0.6388888955116272
5.0,0,149.0,0.9832645518667746,0.5100671052932739
6.0,0,149.0,0.8032285791115473,0.6577181220054626
6.0,1,144.0,0.9040201836162143,0.5833333134651184
6.0,2,158.0,0.7719485058060175,0.6835442781448364
7.0,0,149.0,0.6966633444664462,0.7382550239562988
7.0,1,144.0,0.8239076601134406,0.6180555820465088
7.0,2,158.0,0.7101941946186597,0.7594936490058899
8.0,2,158.0,0.5957380442679683,0.8164557218551636
8.0,1,144.0,0.6990168227089776,0.6944444179534912
8.0,0,149.0,0.6196490330184066,0.791946291923523
9.0,0,149.0,0.5520894535435926,0.7382550239562988
9.0,1,144.0,0.5960686670409309,0.8819444179534912
9.0,2,158.0,0.48386761923379534,0.8734177350997925
10.0,0,149.0,0.45720675267629174,0.899328887462616
10.0,2,158.0,0.38652192565459237,0.8860759735107422
10.0,1,144.0,0.5598427851994833,0.8611111044883728
11.0,2,158.0,0.339265486862086,0.892405092716217
11.0,0,149.0,0.3565189388374354,0.9395973086357117
11.0,1,144.0,0.4622780746883816,0.875
12.0,0,149.0,0.27274439518883725,0.9194630980491638
12.0,2,158.0,0.29170425651194176,0.892405092716217
12.0,1,144.0,0.38022394643889534,0.8333333134651184
13.0,0,149.0,0.2168394715193934,0.9463087320327759
13.0,2,158.0,0.22101491727406467,0.892405092716217
13.0,1,144.0,0.35850998428132796,0.8125
14.0,1,144.0,0.31682320104704964,0.9444444179534912
14.0,2,158.0,0.20071907699862612,0.9367088675498962
14.0,0,149.0,0.18700862710907956,0.9530201554298401
15.0,2,158.0,0.19194268689879887,0.9873417615890503
15.0,1,144.0,0.2695610523223877,0.9236111044883728
15.0,0,149.0,0.13346338012074463,0.9865771532058716
16.0,1,144.0,0.2412609491083357,0.9583333134651184
16.0,0,149.0,0.1415256371834134,0.9932885766029358
16.0,2,158.0,0.16790762402211565,1.0
17.0,2,158.0,0.1675382597914225,1.0
17.0,0,149.0,0.1785318485442424,0.899328887462616
17.0,1,144.0,0.22231492069032457,0.9375
18.0,0,149.0,0.19742835118066546,0.9865771532058716
18.0,1,144.0,0.15219029121928745,0.9652777910232544
18.0,2,158.0,0.15143197435366956,0.9936708807945251
19.0,1,144.0,0.19150231447484758,0.9236111044883728
19.0,2,158.0,0.11416226634873619,0.9936708807945251
19.0,0,149.0,0.12461633790259394,1.0
20.0,1,144.0,0.15264452000459036,0.9722222089767456
20.0,2,158.0,0.10428865150183061,0.9936708807945251
20.0,0,149.0,0.14464289169983577,0.9932885766029358
21.0,1,144.0,0.12469774815771315,0.9791666865348816
21.0,0,149.0,0.12442260260549967,0.9664429426193237
21.0,2,158.0,0.0998148723870893,1.0
22.0,2,158.0,0.07435715057050125,0.9873417615890503
22.0,0,149.0,0.09954811262604374,0.9932885766029358
22.0,1,144.0,0.11106566753652361,0.9930555820465088
23.0,1,144.0,0.08882080101304585,1.0
23.0,2,158.0,0.07606220292516902,0.9873417615890503
23.0,0,149.0,0.08768022560433253,0.9731543660163879
24.0,2,158.0,0.06814968755728082,0.9873417615890503
24.0,1,144.0,0.07609989908006456,1.0
24.0,0,149.0,0.08098320642973753,1.0
25.0,0,149.0,0.059275319862285715,1.0
25.0,1,144.0,0.061451071666346654,1.0
25.0,2,158.0,0.06219826803743085,0.9873417615890503
26.0,1,144.0,0.05200816649529669,1.0
26.0,0,149.0,0.04398574950110992,1.0
26.0,2,158.0,0.05755270984542521,0.9873417615890503
27.0,1,144.0,0.047306015259689756,1.0
27.0,2,158.0,0.04351499851180028,0.9936708807945251
27.0,0,149.0,0.03246712784639141,1.0
28.0,2,158.0,0.04030455535725702,0.9936708807945251
28.0,1,144.0,0.04223261566625701,1.0
28.0,0,149.0,0.041773634243931546,1.0
29.0,0,149.0,0.050119566612395666,1.0
29.0,2,158.0,0.03464613395118261,0.9936708807945251
29.0,1,144.0,0.032912812713119716,1.0
30.0,0,149.0,0.03341337498402436,1.0
30.0,2,158.0,0.02989674838189083,0.9936708807945251
30.0,1,144.0,0.03148137322730488,1.0
