round,train_loss,train_score,val_loss,val_score
0.0,,,1.82311962274897,0.12080536782741547
1.0,1.7510592675790555,0.20177383767131163,1.7761391241278424,0.16778524219989777
2.0,1.6198730836157789,0.5521064494507276,1.6634650270410831,0.48322147130966187
3.0,1.3745927533130688,0.5920177408702622,1.4328172910933528,0.5167785286903381
4.0,1.160754172342051,0.6119733776591569,1.2205098091355906,0.563758373260498
5.0,0.934109111054245,0.7250554307865726,1.0148220238269576,0.6375839114189148
6.0,0.7818462437642387,0.6940133089236833,0.8557717816141628,0.6174496412277222
7.0,0.657170583429992,0.8048780400578569,0.7421287018180693,0.6845637559890747
8.0,0.5297084605350199,0.8425720738465928,0.6320226724515825,0.7248322367668152
9.0,0.4236089274650667,0.9046563194226267,0.5465714587461228,0.7651006579399109
10.0,0.4180426520941791,0.8425720640666733,0.5116787218807528,0.7718120813369751
11.0,0.37310573082012505,0.8425720738465928,0.5242103927287479,0.8791946172714233
12.0,0.33193905060148554,0.8957871644036998,0.45927565094808603,0.7718120813369751
13.0,0.27505725404111353,0.9002217378161699,0.4242606898082183,0.7986577153205872
14.0,0.2410691227854752,0.9201773990548635,0.4113364209664748,0.7852349281311035
15.0,0.20404410847935603,0.942350341184705,0.3090975593350478,0.9060402512550354
