round,train_loss,train_score,train_r2
1.0,0.020938552128007777,0.14359331876039505,-0.7549325227737427
2.0,0.012205885848603569,0.11045973002910614,-0.023017555475234985
3.0,0.01186743918627214,0.10889388620853424,0.005348920822143555
4.0,0.011693676566490186,0.10811381973326206,0.019912555813789368
5.0,0.011393286753445864,0.10672889091074467,0.04508921504020691
6.0,0.011007040022657467,0.10488765314221382,0.07746189832687378
7.0,0.010926927350318203,0.1045297272503376,0.08417642116546631
8.0,0.010927664384675713,0.10450123250484467,0.08411459624767303
9.0,0.010923155601351308,0.10447803512215614,0.0844925194978714
10.0,0.010825634871322948,0.10402548685669899,0.09266608953475952
11.0,0.010816791282895092,0.10397937148809433,0.0934072881937027
12.0,0.010614605226482336,0.10299674235284328,0.1103532612323761
13.0,0.010492147027085034,0.10238133743405342,0.1206168681383133
14.0,0.010408667686323706,0.10197760164737701,0.12761357426643372
15.0,0.010329893270794015,0.10160105116665363,0.13421589136123657
