round,train_loss,train_score
1.0,1.5280599623191646,0.3246951177716255
2.0,1.2876290262230043,0.438516266644001
3.0,0.9799969275065554,0.5442073047161102
4.0,0.8824819401512302,0.5889227539300919
5.0,0.861915397692502,0.6016260385513306
6.0,0.7995686646157164,0.641768291592598
7.0,0.7974457222271741,0.6209349781274796
8.0,0.7334170276071967,0.6570121943950653
9.0,0.6667045447521094,0.7393292784690857
10.0,0.5972645572893988,0.7545731663703918
11.0,0.5005702312763144,0.8343495875597
12.0,0.45252380998638586,0.8338414579629898
13.0,0.45437970191119165,0.8333333283662796
14.0,0.45091550333834274,0.8297764211893082
15.0,0.4135202663397886,0.8480691015720367
