round,train_loss,train_score,val_loss,val_score
0.0,,,1.7906121359575515,0.20134228467941284
1.0,1.7528785403710512,0.20177383767131163,1.7783127847133866,0.16778524219989777
2.0,1.6245573478897501,0.46563192983952967,1.665672864689923,0.4966442883014679
3.0,1.385219832745994,0.5388026504453164,1.447722051767695,0.5100671052932739
4.0,1.1508127852712662,0.6186252951357687,1.2178618163870485,0.5167785286903381
5.0,0.975029616821103,0.576496676436549,1.0387336247719374,0.5436241626739502
6.0,0.8244519482166434,0.6430155061301001,0.8815184055558787,0.5570470094680786
7.0,0.7420315390944217,0.7073170707918324,0.7965607643127441,0.6375839114189148
8.0,0.6366136128252203,0.7694013253548193,0.7182927203658444,0.6442952752113342
9.0,0.5422312649020599,0.8314855807107726,0.6428024252789133,0.6979866027832031
10.0,0.46521426046766884,0.8824833860154162,0.5762343816709199,0.7315436005592346
11.0,0.38424237597808075,0.9024390324520695,0.5025458277871945,0.7651006579399109
12.0,0.31370384855703876,0.8824833778214296,0.4448625250350709,0.7785235047340393
13.0,0.26353631024878726,0.8847006778759332,0.3967205846069643,0.8053691387176514
14.0,0.23326040034547876,0.9445676284195843,0.3817273422125602,0.8255033493041992
15.0,0.197405276502051,0.9667405614303115,0.3554824035639731,0.926174521446228
16.0,0.18261264125814458,0.9844789247290787,0.38202639917949305,0.9463087320327759
17.0,0.18865995356883283,0.9467849317781148,0.3533263173479362,0.8255033493041992
18.0,0.1668702399320983,0.9822616339258503,0.3593127059456486,0.9328858852386475
19.0,0.14230999049881346,0.973392457232507,0.3383746898464309,0.9463087320327759
20.0,0.13306032967012368,0.9866962198936226,0.35791254428609104,0.9463087320327759
21.0,0.11588956399133095,0.9822616437057698,0.30460574807311663,0.9328858852386475
22.0,0.09440034300815768,0.9911308205312741,0.3116632080668171,0.9463087320327759
23.0,0.08397422843259612,0.9866962280876092,0.2844894464415242,0.9463087320327759
24.0,0.07492801299248461,0.9955654064990465,0.26969068314280087,0.9463087320327759
25.0,0.06099402068591699,0.9955654064990465,0.22537363664990903,0.9530201554298401
26.0,0.05130017917198511,0.9955654064990465,0.23457479743511986,0.9530201554298401
27.0,0.041075472309029026,0.9977827032495232,0.24630997457460269,0.9463087320327759
28.0,0.04140551641847765,0.9977827032495232,0.22109695655550032,0.9530201554298401
29.0,0.03920476634195797,0.9977827032495232,0.23487443393002572,0.9463087320327759
30.0,0.03156451632303832,0.9977827032495232,0.20213636138551438,0.9530201554298401
