round,client_id,num_examples,train_loss,train_score
1.0,0,302.0,0.0658400125110781,0.25659307837486267
1.0,1,291.0,0.08649062413939905,0.2940928637981415
2.0,1,291.0,0.0316225672440757,0.1778273582458496
2.0,0,302.0,0.005618663927207127,0.07495775073766708
3.0,1,291.0,0.028219589142647293,0.16798686981201172
3.0,0,302.0,0.010959068559948971,0.10468556731939316
4.0,1,291.0,0.041360469955848564,0.20337273180484772
4.0,0,302.0,0.004368950723861622,0.06609804183244705
5.0,0,302.0,0.006373667108844842,0.07983524352312088
5.0,1,291.0,0.02812710560336581,0.16771137714385986
