round,client_id,num_examples,train_loss,train_score,train_r2
1.0,3,208.0,0.028331218717189934,0.16831880807876587,-1.374537706375122
1.0,1,208.0,0.014144253558837451,0.11892962455749512,-0.18547892570495605
1.0,2,208.0,0.02219089292562925,0.14896607398986816,-0.8598952293395996
1.0,0,208.0,0.01908784331037448,0.13815876841545105,-0.599818229675293
2.0,0,208.0,0.011872322513506962,0.10896018892526627,0.0049394965171813965
2.0,2,208.0,0.012984835327817844,0.11395101994276047,-0.08830392360687256
2.0,1,208.0,0.012185935719081989,0.11038992553949356,-0.02134549617767334
2.0,3,208.0,0.011780449834007483,0.10853778570890427,0.01263970136642456
3.0,0,208.0,0.012490048861274352,0.11175888031721115,-0.04683411121368408
3.0,1,208.0,0.012028297445235344,0.10967359691858292,-0.008133292198181152
3.0,3,208.0,0.012198464371837102,0.11044665426015854,-0.02239537239074707
3.0,2,208.0,0.01075294606674176,0.10369641333818436,0.09875845909118652
4.0,0,208.0,0.012269837065384937,0.11076929420232773,-0.028377413749694824
4.0,3,208.0,0.011941985585368596,0.10927939414978027,-0.0008990764617919922
4.0,2,208.0,0.010959158150049357,0.10468599945306778,0.0814751386642456
4.0,1,208.0,0.011603725465157857,0.10772059112787247,0.02745157480239868
5.0,1,208.0,0.011482953810347961,0.10715854912996292,0.03757387399673462
5.0,3,208.0,0.011577227224524204,0.10759752243757248,0.029672563076019287
5.0,2,208.0,0.010855576238380028,0.10419009625911713,0.0901566743850708
5.0,0,208.0,0.011657389740531262,0.10796939581632614,0.02295374870300293
6.0,0,208.0,0.010825876504755937,0.10404746979475021,0.09264588356018066
6.0,3,208.0,0.011871682909818796,0.10895726084709167,0.004993081092834473
6.0,1,208.0,0.010669059908160796,0.10329114645719528,0.10578912496566772
6.0,2,208.0,0.01066154076789434,0.10325473546981812,0.10641950368881226
7.0,0,208.0,0.010976158942167576,0.10476716607809067,0.08005017042160034
7.0,3,208.0,0.010700827894302515,0.10344480723142624,0.10312652587890625
7.0,1,208.0,0.011091587778467398,0.10531661659479141,0.07037556171417236
7.0,2,208.0,0.010939134786335321,0.10459031909704208,0.08315342664718628
8.0,3,208.0,0.01045317081018136,0.10224074870347977,0.12388354539871216
8.0,2,208.0,0.010602243674489168,0.10296720266342163,0.11138933897018433
8.0,0,208.0,0.011889988986345438,0.1090412363409996,0.003458738327026367
8.0,1,208.0,0.010765254067686887,0.10375574231147766,0.09772676229476929
9.0,0,208.0,0.011921634611028891,0.10918623954057693,0.0008065104484558105
9.0,1,208.0,0.010673806787683414,0.1033141165971756,0.10539126396179199
9.0,3,208.0,0.010486890275317889,0.10240551829338074,0.12105739116668701
9.0,2,208.0,0.010610290731375035,0.1030062660574913,0.11071491241455078
10.0,0,208.0,0.011576451002978362,0.10759392380714417,0.029737532138824463
10.0,2,208.0,0.010626972724611942,0.10308720171451569,0.10931682586669922
10.0,3,208.0,0.010475409002258228,0.10234945267438889,0.12201964855194092
10.0,1,208.0,0.010623706755443262,0.10307136923074722,0.10959035158157349
11.0,3,208.0,0.01075730834586116,0.10371744632720947,0.09839272499084473
11.0,1,208.0,0.010464769501525622,0.10229745507240295,0.12291151285171509
11.0,0,208.0,0.01160766607007155,0.10773888230323792,0.027121305465698242
11.0,2,208.0,0.010437421214122038,0.10216370224952698,0.12520360946655273
12.0,2,208.0,0.009995388870055858,0.09997693449258804,0.1622520089149475
12.0,0,208.0,0.011431265622377396,0.10691709816455841,0.041906118392944336
12.0,1,208.0,0.010449395085183473,0.10222227871417999,0.12420010566711426
12.0,3,208.0,0.010582371328312617,0.10287065804004669,0.11305481195449829
13.0,0,208.0,0.011533870218464961,0.10739585757255554,0.03330641984939575
13.0,3,208.0,0.010486655223828096,0.10240436345338821,0.12107717990875244
13.0,2,208.0,0.009729427500413014,0.09863786399364471,0.18454307317733765
13.0,1,208.0,0.010218635165634064,0.10108726471662521,0.14354079961776733
14.0,0,208.0,0.011356662385738812,0.10656764358282089,0.04815882444381714
14.0,1,208.0,0.010153351709819756,0.10076384246349335,0.1490125060081482
14.0,3,208.0,0.010480814899962682,0.10237585753202438,0.12156659364700317
14.0,2,208.0,0.009643841749773575,0.09820306301116943,0.19171637296676636
15.0,1,208.0,0.01001069458344808,0.10005345940589905,0.160969078540802
15.0,0,208.0,0.011050589096087676,0.10512177646160126,0.07381188869476318
15.0,2,208.0,0.009641568463009138,0.09819149225950241,0.19190680980682373
15.0,3,208.0,0.01061672094063117,0.10303747653961182,0.11017578840255737
