round,client_id,num_examples,train_loss,train_score
1.0,3,492.0,1.5864877429434923,0.25609755516052246
1.0,1,492.0,1.5677637511152562,0.40243902802467346
1.0,0,492.0,1.4966971661017192,0.3252032399177551
1.0,2,492.0,1.461291189116191,0.315040647983551
2.0,2,492.0,1.2561495527019346,0.4776422679424286
2.0,0,492.0,1.2473673442514932,0.36178863048553467
2.0,3,492.0,1.4819338738433714,0.37195122241973877
2.0,1,492.0,1.1650653340952184,0.542682945728302
3.0,2,492.0,0.8477264540951427,0.5873983502388
3.0,1,492.0,1.009729446434393,0.5508130192756653
3.0,3,492.0,1.0256906844736116,0.5121951103210449
3.0,0,492.0,1.0368411250230742,0.5264227390289307
4.0,1,492.0,1.0477805845136565,0.5406504273414612
4.0,2,492.0,0.7599001769127884,0.6524389982223511
4.0,3,492.0,0.853637230590107,0.5914633870124817
4.0,0,492.0,0.8686097685883685,0.5711382031440735
5.0,1,492.0,1.0055592903276769,0.5406504273414612
5.0,3,492.0,0.8275099474240125,0.5995935201644897
5.0,0,492.0,0.8795258233217689,0.6016260385513306
5.0,2,492.0,0.7350665296965498,0.6646341681480408
6.0,3,492.0,0.8055137483085074,0.5894308686256409
6.0,1,492.0,0.9099996782899872,0.6341463327407837
6.0,0,492.0,0.798594090996719,0.6585366129875183
6.0,2,492.0,0.684167140867652,0.684959352016449
7.0,0,492.0,0.8994124376676916,0.5487805008888245
7.0,3,492.0,0.663846209766419,0.6747967600822449
7.0,1,492.0,0.9865625277767337,0.5386179089546204
7.0,2,492.0,0.6399617136978522,0.7215447425842285
8.0,0,492.0,0.8241237702408457,0.5792682766914368
8.0,1,492.0,0.7667918210107136,0.7052845358848572
8.0,2,492.0,0.6557031181769643,0.684959352016449
8.0,3,492.0,0.6870494010002632,0.6585366129875183
9.0,1,492.0,0.8218609855427006,0.6788617968559265
9.0,0,492.0,0.6732597554602274,0.7296748161315918
9.0,2,492.0,0.5350634947540315,0.7845528721809387
9.0,3,492.0,0.636633943251478,0.7642276287078857
10.0,2,492.0,0.6216450178526282,0.7560975551605225
10.0,1,492.0,0.7365041825829483,0.7134146094322205
10.0,0,492.0,0.4000918833705468,0.827235758304596
10.0,3,492.0,0.6308171453514719,0.7215447425842285
11.0,1,492.0,0.6349844758103533,0.7764227390289307
11.0,3,492.0,0.5009349775992757,0.8292682766914368
11.0,0,492.0,0.39461138965637704,0.9186992049217224
11.0,2,492.0,0.47175008203925156,0.8130081295967102
12.0,1,492.0,0.510686528876545,0.8109756112098694
12.0,3,492.0,0.4710302856879506,0.8089430928230286
12.0,2,492.0,0.4291008410415029,0.8231707215309143
12.0,0,492.0,0.399277584339545,0.892276406288147
13.0,3,492.0,0.42692194140054346,0.8313007950782776
13.0,1,492.0,0.643492931757516,0.7560975551605225
13.0,2,492.0,0.4008400907846001,0.8516260385513306
13.0,0,492.0,0.34626384370210694,0.8943089246749878
14.0,2,492.0,0.45940151834875587,0.8109756112098694
14.0,0,492.0,0.3538426055413921,0.892276406288147
14.0,3,492.0,0.36584244898664275,0.8597561120986938
14.0,1,492.0,0.6245754404765803,0.7560975551605225
15.0,0,492.0,0.30874032569610005,0.8902438879013062
15.0,3,492.0,0.3893643508597118,0.8597561120986938
15.0,1,492.0,0.5826753392452146,0.7784552574157715
15.0,2,492.0,0.3733010495581278,0.8638211488723755
