epoch,train_loss,train_score,val_loss,val_score
1.0,1.7893712015744059,0.17738358676433563,1.761355048058017,0.16778524219989777
2.0,1.7028266743915836,0.27272728085517883,1.6221529893427087,0.48322147130966187
3.0,1.475023650277216,0.5254988670349121,1.4058430290862218,0.4966442883014679
4.0,1.2820014303380793,0.5964523553848267,1.2424745423681784,0.5704697966575623
5.0,1.1359680380895238,0.5698447823524475,1.1164955756808288,0.6040268540382385
6.0,1.022937297953206,0.5077605247497559,1.011483445263549,0.6442952752113342
7.0,0.8600115563282681,0.6784922480583191,0.9323645590135715,0.7248322367668152
8.0,0.7058858434006803,0.7649667263031006,0.8035862113805425,0.6644295454025269
9.0,0.6972118083494994,0.7117516398429871,0.6439970867745828,0.7516778707504272
10.0,0.5201422141290821,0.8514412641525269,0.5233339903338644,0.8053691387176514
11.0,0.39979251393193416,0.8691796064376831,0.5280860724465158,0.791946291923523
12.0,0.32831528789452596,0.8736141920089722,0.42265124699013346,0.8389261960983276
13.0,0.30925457172938303,0.8470066785812378,0.4536730473573576,0.7986577153205872
14.0,0.26732310748549626,0.8780487775802612,0.34466670922334963,0.818791925907135
15.0,0.234450786578946,0.8847006559371948,0.2969137074788345,0.8657718300819397
