round,client_id,num_examples,train_loss,train_score
1.0,0,302.0,1.4700436442103606,0.28145694732666016
1.0,1,291.0,1.4723244831734097,0.2886597812175751
2.0,0,302.0,1.4500496103274112,0.28145694732666016
2.0,1,291.0,1.4371279035646891,0.2886597812175751
3.0,1,291.0,1.4205842612125619,0.6323024034500122
3.0,0,302.0,1.4338287501935139,0.28145694732666016
4.0,1,291.0,1.401051436502909,0.4879724979400635
4.0,0,302.0,1.4252937116370297,0.28145694732666016
5.0,0,302.0,1.3870949895176667,0.5894039869308472
5.0,1,291.0,1.3264260996657957,0.5257731676101685
