round,train_loss,train_score,val_loss,val_score
0.0,,,1.8007282834725091,0.16778524219989777
1.0,1.37968464746041,0.49072513421510566,2.0077956314854974,0.1812080591917038
2.0,1.3366464171401566,0.3844856663558375,1.9574818275118835,0.21476510167121887
3.0,0.9487617473176116,0.647554829691554,1.7892015284339853,0.23489932715892792
4.0,0.6831811859977587,0.811129866924897,1.7319905621893454,0.30201342701911926
5.0,0.5051712530208077,0.8600337153542504,1.704961976148938,0.30201342701911926
6.0,0.3896689274887009,0.8920742178847778,1.525694192455919,0.30201342701911926
7.0,0.27235014589022827,0.9139966221925179,1.3316186864754098,0.3087248206138611
8.0,0.22583021959179972,0.9139966221925179,1.193462874290327,0.48322147130966187
9.0,0.19975724168794,0.9190556444164875,1.1358750529990425,0.5436241626739502
10.0,0.20594500017514955,0.9123103032626751,0.9510198655185108,0.6107382774353027
11.0,0.17798031873107395,0.9156829726836734,0.7216336024532894,0.7114093899726868
12.0,0.14279048274376022,0.9679595477263401,1.0416279280073426,0.5838926434516907
13.0,0.0901541986742605,0.9848229333280913,0.8365996502818002,0.7046979665756226
14.0,0.07531201175869873,0.993254627284875,0.800629491604874,0.6845637559890747
15.0,0.04943413906777827,0.9949409777760304,0.7424508607577167,0.6778523325920105
