round,client_id,num_examples,train_loss,train_score
1.0,1,291.0,1.3509336038143773,0.7079038023948669
1.0,0,302.0,1.4073884676623818,0.28145694732666016
2.0,1,291.0,1.3194233301988583,0.4329896867275238
2.0,0,302.0,1.3532421731001494,0.33774834871292114
3.0,0,302.0,0.9738688808403267,0.5695364475250244
3.0,1,291.0,0.922705546891976,0.7285223603248596
4.0,1,291.0,0.7377893999474975,0.7594501972198486
4.0,0,302.0,0.630562012953474,0.860927164554596
5.0,0,302.0,0.47004145857514135,0.940397322177887
5.0,1,291.0,0.5416289778407087,0.7766323089599609
6.0,1,291.0,0.42680804049948234,0.800687313079834
6.0,0,302.0,0.35388256362731885,0.9801324605941772
7.0,1,291.0,0.37424947266367703,0.8247422575950623
7.0,0,302.0,0.1741623839992561,1.0
8.0,1,291.0,0.34875743084705574,0.8247422575950623
8.0,0,302.0,0.10738048954120535,1.0
9.0,0,302.0,0.07637746168288174,1.0
9.0,1,291.0,0.3278008621742891,0.8350515365600586
10.0,0,302.0,0.09185817156801161,0.9933775067329407
10.0,1,291.0,0.32434438931382875,0.8281787037849426
11.0,1,291.0,0.3038056448055591,0.8281787037849426
11.0,0,302.0,0.05673803433479852,1.0
12.0,1,291.0,0.2480004088682302,0.9415807723999023
12.0,0,302.0,0.04141270624634051,0.9933775067329407
13.0,0,302.0,0.019690168083996963,1.0
13.0,1,291.0,0.163281818049723,0.969072163105011
14.0,0,302.0,0.010705420991023448,1.0
14.0,1,291.0,0.14236077606054728,0.9862542748451233
15.0,0,302.0,0.006671848250491335,1.0
15.0,1,291.0,0.09381287386784926,0.9896907210350037
