round,train_loss,train_score
1.0,1.7753343999385833,0.21666666865348816
2.0,1.7550229946772258,0.22812499850988388
3.0,1.6946270624796549,0.3114583343267441
4.0,1.618528421719869,0.32604166865348816
5.0,1.536027083794276,0.3656250014901161
6.0,1.451270443201065,0.3843749985098839
7.0,1.3402136753002802,0.4072916656732559
8.0,1.2970003128051757,0.40625
9.0,1.2028273721536,0.4624999985098839
10.0,1.1935553342103957,0.4489583373069763
11.0,1.2595677187045415,0.4906250014901161
12.0,1.152285780509313,0.4781249910593033
13.0,1.2122975220282872,0.46875
14.0,1.1563202718893686,0.4739583358168602
15.0,1.1563957770665487,0.5041666701436043
