epoch,train_loss,train_score,val_loss,val_score
1.0,0.38072179072844214,0.6170265674591064,0.05107047326312769,0.2259877622127533
2.0,0.03234390023178906,0.17984411120414734,0.02813540606278201,0.16773612797260284
3.0,0.024448798911567537,0.15636111795902252,0.04255316535873501,0.20628418028354645
4.0,0.022269262987996415,0.14922888576984406,0.02585068861360118,0.16078148782253265
5.0,0.021125229303219136,0.14534519612789154,0.03160098276332321,0.17776663601398468
6.0,0.020529334055478715,0.14328061044216156,0.03257926328157718,0.18049725890159607
7.0,0.020704614475551174,0.14389097690582275,0.025253298879919835,0.15891286730766296
8.0,0.019461871746374076,0.1395058035850525,0.027059885057551948,0.16449889540672302
9.0,0.01984571449318178,0.14087481796741486,0.027797537983938952,0.16672593355178833
10.0,0.018990760037217065,0.1378069669008255,0.023832042707792864,0.1543762981891632
11.0,0.0188994889308651,0.1374754160642624,0.0269563101285181,0.16418378055095673
12.0,0.01903936489714421,0.13798321783542633,0.0249924913264386,0.15809014439582825
13.0,0.01894833215258338,0.1376529335975647,0.026487745511839352,0.16275055706501007
14.0,0.01886066424344437,0.13733413815498352,0.02449304142485579,0.15650252997875214
15.0,0.018766320595505363,0.13699021935462952,0.02372501640199315,0.1540292650461197
